+-----------+--------+-----------------+
|    Name   | Median | Fail Percentage |
|  CMPT 466 |  B/B+  |       0.0       |
|  CMPT 468 |   B+   |  9.52380952381  |
|  CMPT 469 |  B-/B  |       0.0       |
|  CMPT 470 |   B    |  3.68715083799  |
|  CMPT 471 |   B-   |  5.76070901034  |
|  CMPT 473 |   B+   |  2.00803212851  |
|  CMPT 474 |   B+   |  1.20481927711  |
|  CMPT 475 |   B    |  0.565770862801 |
|  CMPT 477 |   C+   |  12.4579124579  |
|  CMPT 479 |   A-   |       0.0       |
|  CMPT 489 |   A-   |       0.0       |
|  CMPT 496 |   A    |       0.0       |
|  CMPT 497 |   A-   |       0.0       |
|  CMPT 498 |   A    |       0.0       |
|  COGS 100 |   B    |  4.88188976378  |
|  COGS 110 |   B+   |  3.90455531453  |
|  COGS 200 |   B+   |  2.40963855422  |
|  COGS 300 |   B+   |  1.19047619048  |
|  COGS 310 |   A-   |  2.04081632653  |
|  COGS 380 |   A    |       0.0       |
|  CRIM 101 |   B-   |  2.25437415882  |
|  CRIM 103 |   B-   |  3.03989867004  |
|  CRIM 104 |   B-   |  2.00601805416  |
|  CRIM 131 |   B-   |  1.50908530952  |
|  CRIM 135 |   B-   |  3.02547770701  |
|  CRIM 203 |   B    |   1.5873015873  |
|  CRIM 205 |   B-   |  4.41176470588  |
|  CRIM 210 |   B-   |  0.203873598369 |
|  CRIM 213 |   B-   |  1.08695652174  |
|  CRIM 218 |   B-   |  2.04918032787  |
|  CRIM 220 |   B-   |  1.82278481013  |
|  CRIM 230 |   B    |  1.03857566766  |
|  CRIM 241 |   B    |  2.35131396957  |
|  CRIM 251 |   B-   |  0.238095238095 |
| CRIM 300W |   B    |  1.19386014781  |
|  CRIM 301 |   B+   |       0.0       |
|  CRIM 302 |   B+   |       0.0       |
|  CRIM 310 |   B    |  0.515463917526 |
|  CRIM 311 |   B+   |       0.0       |
|  CRIM 312 |   B    |  1.66666666667  |
|  CRIM 313 |   A-   |  0.699300699301 |
|  CRIM 314 |   B+   |  0.113122171946 |
|  CRIM 315 |   B+   |  0.653594771242 |
|  CRIM 316 |   B-   |  1.15089514066  |
|  CRIM 317 |   B    |       0.0       |
|  CRIM 318 |  B/B+  |  1.94805194805  |
|  CRIM 319 |   B+   |       0.0       |
|  CRIM 320 |   B-   |  2.28928199792  |
|  CRIM 321 |   B    |  0.666296501943 |
|  CRIM 330 |   B-   |  0.424728645588 |
|  CRIM 332 |   B    |  0.845410628019 |
|  CRIM 333 |   B+   |       0.0       |
|  CRIM 334 |   B+   |  0.581395348837 |
|  CRIM 335 |   B    |  0.987654320988 |
|  CRIM 336 |   B+   |       0.0       |
|  CRIM 338 |   B    |  0.183486238532 |
|  CRIM 340 |   B    |       0.0       |
|  CRIM 343 |   B+   |  0.826446280992 |
|  CRIM 345 |   B    |       0.0       |
|  CRIM 346 |   B-   |       0.0       |
|  CRIM 350 |   B+   |       0.0       |
|  CRIM 351 |   B    |       0.0       |
|  CRIM 352 |   B+   |  0.392156862745 |
|  CRIM 355 |   B-   |       2.5       |
|  CRIM 356 |   B+   |  1.72413793103  |
|  CRIM 357 |   B+   |       0.0       |
|  CRIM 369 |   B+   |       0.0       |
|  CRIM 370 |   A    |   2.5641025641  |
|  CRIM 380 |   B    |  1.85840707965  |
|  CRIM 384 |   B+   |       0.0       |
|  CRIM 402 |   B-   |  1.27906976744  |
|  CRIM 410 |   A-   |       0.0       |
|  CRIM 413 |   B-   |  3.24675324675  |
|  CRIM 414 |   B+   |  0.854700854701 |
|  CRIM 416 |   A-   |  0.595238095238 |
|  CRIM 417 |   B+   |  0.507614213198 |
|  CRIM 418 |   B    |       0.0       |
|  CRIM 419 |   B+   |       0.0       |
|  CRIM 429 |   B+   |       0.0       |
|  CRIM 431 |   B    |  0.966183574879 |
|  CRIM 432 |   C+   |  6.74157303371  |
|  CRIM 433 |   B    |       0.0       |
|  CRIM 436 |   A-   |       0.0       |
|  CRIM 437 |   A-   |       0.0       |
|  CRIM 438 |   A-   |       0.0       |
|  CRIM 440 |   A-   |       0.0       |
|  CRIM 441 |   B    |       0.0       |
|  CRIM 442 |   A-   |  0.77519379845  |
|  CRIM 449 |   A-   |  1.38888888889  |
|  CRIM 450 |   B+   |       0.0       |
|  CRIM 451 |   A-   |       0.0       |
|  CRIM 452 |   A-   |       0.0       |
|  CRIM 453 |   B    |       0.0       |
